target_id	ens_gene	ext_gene	biotype	log2FC	qval
ENST00000374736.8	ENSG00000165029	ABCA1	protein_coding	-2.58622877806787	9.45709669712302e-57
ENST00000381086.9	ENSG00000146674	IGFBP3	protein_coding	-1.95926063442598	1.65816561668332e-56
ENST00000340607.5	ENSG00000148344	PTGES	protein_coding	-1.41929594895315	2.45276732613725e-55
ENST00000375820.10	ENSG00000187498	COL4A1	protein_coding	-1.48731603768333	7.92842837744115e-55
MSTRG.26519.2	NA	NA	NA	2.2468866374073	4.64942015582512e-54
ENST00000210633.4	ENSG00000095539	SEMA4G	protein_coding	1.78071388929768	1.76261377537252e-53
ENST00000357037.6	ENSG00000177469	CAVIN1	protein_coding	-1.58117721490625	2.14899032685733e-53
ENST00000619021.4	ENSG00000291003		lncRNA	-7.28140019369298	4.9732869905427e-53
ENST00000393784.8	ENSG00000113719	ERGIC1	protein_coding	-1.1792024863108	7.08509927117131e-53
ENST00000374632.7	ENSG00000133216	EPHB2	protein_coding	-1.65459465129967	1.24964370736234e-51
ENST00000357785.10	ENSG00000118257	NRP2	protein_coding	-1.55235700757456	1.24964370736234e-51
ENST00000359595.8	ENSG00000140511	HAPLN3	protein_coding	-2.3632549100721	2.1053226370853e-51
ENST00000215886.6	ENSG00000100079	LGALS2	protein_coding	3.24558075981072	8.29292108340372e-50
MSTRG.27898.4	NA	NA	NA	1.65958150607575	1.60024461066783e-49
ENST00000393467.1	ENSG00000105974	CAV1	protein_coding	-1.02754184775239	4.33394222506978e-49
ENST00000568686.1	ENSG00000261786		lncRNA	-1.26169279074181	4.75352289437911e-49
ENST00000409304.6	ENSG00000135919	SERPINE2	protein_coding	-1.47744693416415	1.58638247066812e-48
ENST00000592811.5	ENSG00000125740	FOSB	protein_coding	2.27987128643743	4.5459529809661e-48
ENST00000262428.5	ENSG00000103187	COTL1	protein_coding	-1.14969931247003	4.78168227905795e-48
ENST00000222644.10	ENSG00000105926	PALS2	protein_coding	1.36740566419244	4.89326078741736e-48
ENST00000285930.9	ENSG00000085662	AKR1B1	protein_coding	-1.1268400595816	2.29810936635896e-47
ENST00000393306.6	ENSG00000140961	OSGIN1	protein_coding	1.15125183983256	3.52509780348133e-47
ENST00000369236.5	ENSG00000151892	GFRA1	protein_coding	-4.80306696979186	5.7515662299921e-47
ENST00000639952.1	ENSG00000143473	KCNH1	protein_coding	-2.42828505903823	6.32029736670382e-47
MSTRG.27864.12	NA	NA	NA	2.07144255112062	2.43073869309299e-46
ENST00000586615.5	ENSG00000125740	FOSB	protein_coding	2.40358410453423	8.52279916710862e-46
MSTRG.13982.1	NA	NA	NA	-1.57565703478211	1.11436344787099e-45
ENST00000548015.1	ENSG00000111057	KRT18	retained_intron	1.52605403238242	6.9282936341233e-45
ENST00000377126.4	ENSG00000119138	KLF9	protein_coding	1.30222079603057	2.6825395814304e-44
ENST00000442011.7	ENSG00000120708	TGFBI	protein_coding	-1.55167628334977	2.59715882770552e-43
ENST00000360467.7	ENSG00000134871	COL4A2	protein_coding	-1.10823948557718	3.11520818695133e-43
ENST00000321348.9	ENSG00000071967	CYBRD1	protein_coding	-1.18257372108404	4.39509945405235e-43
ENST00000546656.1	ENSG00000111057	KRT18	retained_intron	1.88881032327592	1.12270757902392e-42
ENST00000371926.8	ENSG00000138134	STAMBPL1	protein_coding	-1.65695604533102	1.12645010895715e-42
ENST00000550557.1	ENSG00000123358	NR4A1	retained_intron	1.99913700850212	1.12645010895715e-42
ENST00000319397.7	ENSG00000134954	ETS1	protein_coding	-1.25174959053213	1.28765726226552e-42
ENST00000611549.4	ENSG00000076864	RAP1GAP	retained_intron	3.39239255121428	1.81184101223794e-42
ENST00000301178.9	ENSG00000167601	AXL	protein_coding	-2.02245047275322	6.28171307775547e-42
ENST00000557323.1	ENSG00000176153	GPX2	nonsense_mediated_decay	2.17859488293612	1.00663968654982e-41
ENST00000553968.1	ENSG00000211448	DIO2	protein_coding	-3.31812660605936	1.3985566402408e-41
ENST00000649147.1	ENSG00000172602	RND1	retained_intron	2.04990165014429	3.04663681705544e-41
ENST00000652299.1	ENSG00000052850	ALX4	protein_coding	-2.79308498926027	4.9303276773409e-41
MSTRG.25495.1	NA	NA	NA	2.67880302570786	6.10922990173624e-41
ENST00000265109.8	ENSG00000039560	RAI14	protein_coding	-0.992304380015921	7.32257532717027e-41
ENST00000282406.9	ENSG00000152527	PLEKHH2	protein_coding	2.82237888968464	1.23118314877578e-40
ENST00000371208.5	ENSG00000134709	HOOK1	protein_coding	2.2511916990478	1.8927742183855e-40
ENST00000489173.1	ENSG00000168237	GLYCTK	retained_intron	1.89954896813674	2.05789634058212e-40
ENST00000274289.8	ENSG00000145632	PLK2	protein_coding	-0.912551674924184	2.06678746518458e-40
ENST00000378053.3	ENSG00000125848	FLRT3	protein_coding	2.2136374215565	3.5362428141512e-40
ENST00000372764.4	ENSG00000122861	PLAU	protein_coding	-1.77264564140973	3.86702692788278e-40
MSTRG.26269.24	NA	NA	NA	-1.63291021863613	9.49516868596732e-40
ENST00000257527.9	ENSG00000135074	ADAM19	protein_coding	-1.8481429186655	1.30033725553255e-39
ENST00000498017.1	ENSG00000163435	ELF3	protein_coding_CDS_not_defined	1.75259815112382	1.56767383198798e-39
ENST00000436383.2	ENSG00000238266	LINC00707	lncRNA	-2.6150147211156	2.34585922297211e-39
ENST00000262464.9	ENSG00000138829	FBN2	protein_coding	-1.27382324706424	3.27336258892056e-39
ENST00000476918.1	ENSG00000114315	HES1	retained_intron	2.14632026922442	4.04255738992132e-39
ENST00000404648.7	ENSG00000171557	FGG	protein_coding	2.57882398503266	7.33539137958779e-39
ENST00000282903.10	ENSG00000152952	PLOD2	protein_coding	-1.32139313046068	1.04100577080722e-38
ENST00000674313.1	ENSG00000155465	SLC7A7	protein_coding	2.14910575064461	1.4335958354799e-38
ENST00000027335.8	ENSG00000079112	CDH17	protein_coding	2.28120790371558	1.97930245214963e-38
ENST00000286298.5	ENSG00000155850	SLC26A2	protein_coding	-1.93675293781629	2.81581369760855e-38
ENST00000502545.5	ENSG00000171564	FGB	protein_coding_CDS_not_defined	2.02837584813438	2.81581369760855e-38
ENST00000299977.9	ENSG00000166750	SLFN5	protein_coding	1.76722971120993	4.49631590270745e-38
ENST00000264716.9	ENSG00000075426	FOSL2	protein_coding	-1.79678147269547	5.28366477333968e-38
ENST00000303562.9	ENSG00000170345	FOS	protein_coding	1.62714384600704	8.69244513145175e-38
ENST00000283871.10	ENSG00000113924	HGD	protein_coding	1.59029792764276	1.06108943437439e-37
ENST00000695569.1	ENSG00000140545	MFGE8	protein_coding	-1.70193332171478	1.57824269183941e-37
ENST00000263726.4	ENSG00000121454	LHX4	protein_coding	1.66152146558145	1.82878750396736e-37
ENST00000338435.9	ENSG00000115419	GLS	protein_coding	-1.28666387987889	1.94299208592859e-37
ENST00000646146.1	ENSG00000023171	GRAMD1B	protein_coding	1.47794118753574	7.38651388794458e-37
ENST00000381577.4	ENSG00000120217	CD274	protein_coding	-2.68722545276112	9.4626089017701e-37
ENST00000419625.6	ENSG00000104537	ANXA13	protein_coding	2.18056772791952	1.23904877062094e-36
ENST00000464532.5	ENSG00000171557	FGG	retained_intron	2.30737956893845	1.97221049026885e-36
ENST00000403106.8	ENSG00000171560	FGA	protein_coding	2.25660336141954	3.09043199081921e-36
ENST00000395407.7	ENSG00000137819	PAQR5	protein_coding	-1.94651986187739	4.22669096051595e-36
ENST00000264025.8	ENSG00000110400	NECTIN1	protein_coding	1.1242480699478	6.32917582128869e-36
ENST00000358912.5	ENSG00000197329	PELI1	protein_coding	1.99678059082899	3.04127544492721e-35
ENST00000659680.1	ENSG00000223749	MIR503HG	lncRNA	-1.705894588186	6.54020092107546e-35
ENST00000211998.10	ENSG00000035403	VCL	protein_coding	-1.0679749689878	1.29252558854936e-34
MSTRG.11500.4	NA	NA	NA	-2.24829286230509	2.23182052082213e-34
ENST00000297205.7	ENSG00000164647	STEAP1	protein_coding	1.44478055925216	2.48354449648423e-34
MSTRG.22916.1	NA	NA	NA	1.30474400418268	3.57416200470377e-34
ENST00000428670.8	ENSG00000070961	ATP2B1	protein_coding	0.856587070106052	3.61281321849811e-34
ENST00000326685.11	ENSG00000173210	ABLIM3	protein_coding	-2.80121168308522	3.9117222484074e-34
ENST00000394252.4	ENSG00000170439	TMT1B	protein_coding	1.29136427920485	7.71348302996297e-34
MSTRG.7731.7	NA	NA	NA	1.70884962326072	9.88677982800766e-34
ENST00000235382.7	ENSG00000116741	RGS2	protein_coding	-1.48984406331499	1.73409270771301e-33
ENST00000497097.5	ENSG00000171564	FGB	retained_intron	2.04959777544484	1.85822868198214e-33
ENST00000645481.2	ENSG00000137273	FOXF2	protein_coding	-1.704268248162	2.12439667612908e-33
ENST00000651975.2	ENSG00000171560	FGA	protein_coding	2.20627016060816	2.83869134263161e-33
ENST00000305354.5	ENSG00000169903	TM4SF4	protein_coding	1.45097387232255	4.90816967452146e-33
MSTRG.7720.9	NA	NA	NA	1.56606299814423	6.16349104839003e-33
ENST00000551956.2	ENSG00000170477	KRT4	protein_coding	3.26200948070147	6.66167785924606e-33
ENST00000311946.8	ENSG00000172548	NIPAL4	protein_coding	-1.58079674568911	8.46061770381733e-33
ENST00000366956.10	ENSG00000152104	PTPN14	protein_coding	-0.996922610113321	2.08826223163522e-32
ENST00000359092.7	ENSG00000167601	AXL	protein_coding	-1.95568883797651	3.70472052417852e-32
ENST00000299164.4	ENSG00000166106	ADAMTS15	protein_coding	-1.69661439669893	9.96462860870032e-32
ENST00000534221.1	ENSG00000178105	DDX10	protein_coding_CDS_not_defined	-1.65300893621916	9.97969462733595e-32
ENST00000696032.1	ENSG00000289697		protein_coding	2.31383860787395	1.66518456764579e-31
ENST00000361228.5	ENSG00000198774	RASSF9	protein_coding	1.53250948299508	2.70072678095275e-31
ENST00000360265.9	ENSG00000196526	AFAP1	protein_coding	-1.21868975021428	4.1659423073927e-31
ENST00000337057.8	ENSG00000079819	EPB41L2	protein_coding	-1.03910632931461	4.27114914022325e-31
MSTRG.10000.2	NA	NA	NA	-1.17891561097891	5.2438135467379e-31
ENST00000506699.5	ENSG00000120708	TGFBI	retained_intron	-1.56830662031043	6.71949458154425e-31
ENST00000548496.1	ENSG00000111057	KRT18	retained_intron	1.64291619734028	6.94995344663166e-31
MSTRG.18895.9	NA	NA	NA	-2.02471045628022	7.73378513913882e-31
MSTRG.22325.1	NA	NA	NA	1.95476242999057	8.18524852269593e-31
ENST00000245451.9	ENSG00000125378	BMP4	protein_coding	3.10367454684907	1.07710476861911e-30
MSTRG.24424.4	NA	NA	NA	1.19698882467018	2.24218587006386e-30
ENST00000303714.9	ENSG00000169604	ANTXR1	protein_coding	-3.96660659213426	3.58753105458176e-30
ENST00000340006.7	ENSG00000159176	CSRP1	protein_coding	-1.00632737851518	4.87806088079337e-30
ENST00000693296.1	ENSG00000129422	MTUS1	protein_coding	1.21525035519991	6.3800948574277e-30
ENST00000610745.5	ENSG00000138061	CYP1B1	protein_coding	1.38441883854802	9.711401852578e-30
ENST00000357799.9	ENSG00000163535	SGO2	protein_coding	-1.10718963589496	1.14593411961459e-29
ENST00000547031.5	ENSG00000170421	KRT8	retained_intron	1.80727628523149	2.02980372560504e-29
ENST00000509493.1	ENSG00000171564	FGB	protein_coding	1.87335295063927	2.46943022709965e-29
ENST00000427924.5	ENSG00000104760	FGL1	protein_coding	2.92146910787206	3.66754968896459e-29
ENST00000296129.6	ENSG00000163814	CDCP1	protein_coding	-1.54426719979638	3.94990970837271e-29
ENST00000343150.10	ENSG00000135047	CTSL	protein_coding	-0.965613131139233	5.19373381628957e-29
ENST00000270221.11	ENSG00000142227	EMP3	protein_coding	-0.937440803153667	7.52091519326192e-29
ENST00000284878.12	ENSG00000154639	CXADR	protein_coding	1.19063583195658	1.34373221075981e-28
ENST00000393925.7	ENSG00000144824	PHLDB2	protein_coding	-1.54274703077769	1.35000507787913e-28
MSTRG.5100.9	NA	NA	NA	1.05573287738556	1.55464422787806e-28
MSTRG.22464.8	NA	NA	NA	1.99224906895031	1.7525124435863e-28
ENST00000216392.8	ENSG00000100504	PYGL	protein_coding	-0.925381998150028	3.6634247207381e-28
ENST00000287156.9	ENSG00000156587	UBE2L6	protein_coding	-1.82080216819616	4.04619125088389e-28
ENST00000683139.1	ENSG00000206560	ANKRD28	protein_coding	-1.7816906149028	6.0607798407616e-28
ENST00000503506.6	ENSG00000198431	TXNRD1	protein_coding	0.850749024517198	7.58815533993471e-28
ENST00000267460.9	ENSG00000139946	PELI2	protein_coding	1.71335589619006	1.06801167689362e-27
ENST00000555619.6	ENSG00000119655	NPC2	protein_coding	-0.97227214739077	1.16843649957161e-27
ENST00000306052.12	ENSG00000157193	LRP8	protein_coding	1.00453238303853	1.63669997006898e-27
MSTRG.17727.1	NA	NA	NA	-1.44379850959366	1.73532934438555e-27
ENST00000360830.9	ENSG00000138326	RPS24	protein_coding	0.816286223552767	1.97176845180671e-27
ENST00000308963.4	ENSG00000173237	C11orf86	protein_coding	-2.39375336353842	2.38374302564635e-27
ENST00000273067.5	ENSG00000144583	MARCHF4	protein_coding	-3.19139646171311	2.40153514369958e-27
ENST00000262753.9	ENSG00000124429	POF1B	protein_coding	1.18866146407216	4.16992427396158e-27
ENST00000359651.7	ENSG00000163435	ELF3	protein_coding	1.82221246426659	5.09656994282513e-27
MSTRG.29439.6	NA	NA	NA	1.60004037931566	5.09656994282513e-27
ENST00000361175.8	ENSG00000198682	PAPSS2	protein_coding	-0.990255766446152	6.7590471214398e-27
ENST00000565123.5	ENSG00000140961	OSGIN1	protein_coding	1.27021271912748	7.04576237458587e-27
MSTRG.16600.7	NA	NA	NA	1.77163662146481	1.8919386626163e-26
ENST00000302177.3	ENSG00000170608	FOXA3	protein_coding	2.11370485055281	2.09861474953198e-26
MSTRG.16842.9	NA	NA	NA	1.58001555712218	2.87363664320537e-26
ENST00000256367.3	ENSG00000133985	TTC9	protein_coding	1.39688500918078	3.47795641737041e-26
MSTRG.7633.5	NA	NA	NA	1.9519990535326	4.38794239800357e-26
ENST00000355288.6	ENSG00000151150	ANK3	protein_coding	2.1424678888275	5.00455355824683e-26
ENST00000396553.7	ENSG00000133805	AMPD3	protein_coding	-1.68959529710106	5.51753147639614e-26
ENST00000292408.9	ENSG00000160867	FGFR4	protein_coding	1.45906370438541	6.13287915522951e-26
MSTRG.6344.6	NA	NA	NA	1.16222185966746	7.3718382881812e-26
MSTRG.29224.1	NA	NA	NA	1.77442929839444	8.16110612716628e-26
MSTRG.7720.19	NA	NA	NA	6.13982329847057	1.27971462154287e-25
ENST00000420843.7	ENSG00000137486	ARRB1	protein_coding	2.7367891593827	1.43072539653477e-25
ENST00000614565.5	ENSG00000179242	CDH4	protein_coding	-3.13985883758595	1.43479193006274e-25
ENST00000480862.1	ENSG00000113924	HGD	retained_intron	2.02279160541628	2.27640313286288e-25
ENST00000409829.7	ENSG00000169604	ANTXR1	protein_coding	-3.52715034083497	2.79286978860291e-25
ENST00000394555.6	ENSG00000115380	EFEMP1	protein_coding	-3.80234333984949	3.83370326843061e-25
ENST00000375533.6	ENSG00000095739	BAMBI	protein_coding	2.08693738450416	3.98982464808669e-25
ENST00000457734.7	ENSG00000120756	PLS1	protein_coding	0.853112400738053	4.44197895352902e-25
ENST00000652385.1	ENSG00000129515	SNX6	protein_coding	-0.764831634639143	5.32547491279729e-25
ENST00000378024.9	ENSG00000124942	AHNAK	protein_coding	-1.28147313035437	5.7712103984555e-25
ENST00000317702.10	ENSG00000176014	TUBB6	protein_coding	-0.848367413901377	6.11071363827974e-25
ENST00000388711.7	ENSG00000135052	GOLM1	protein_coding	-1.23396990051408	6.15633818478693e-25
ENST00000342020.6	ENSG00000135047	CTSL	protein_coding	-1.15265750513854	7.28691856794878e-25
MSTRG.2537.2	NA	NA	NA	-1.79769397670951	8.47617861819868e-25
ENST00000297625.8	ENSG00000164976	MYORG	protein_coding	1.52303593995754	8.80620760969899e-25
ENST00000368149.3	ENSG00000146376	ARHGAP18	protein_coding	0.989331105186042	9.13855732199486e-25
ENST00000233969.3	ENSG00000115616	SLC9A2	protein_coding	1.1215773446495	9.5940539510456e-25
ENST00000381280.4	ENSG00000198732	SMOC1	protein_coding	-1.55415850905334	1.07860504544876e-24
ENST00000368713.8	ENSG00000188015	S100A3	protein_coding	-1.27431031521534	1.15577395003993e-24
ENST00000325404.3	ENSG00000181449	SOX2	protein_coding	1.4879313144998	1.42105338168156e-24
ENST00000710954.1	ENSG00000163430	FSTL1	nonsense_mediated_decay	-2.43060046794071	1.81352298955456e-24
ENST00000587091.6	ENSG00000147100	SLC16A2	protein_coding	-1.32486051897337	1.95851342487926e-24
MSTRG.11507.9	NA	NA	NA	-1.48447345095085	2.20845423542757e-24
ENST00000295830.13	ENSG00000163584	RPL22L1	protein_coding	-0.899674230429647	2.71700149466288e-24
ENST00000262219.10	ENSG00000104537	ANXA13	protein_coding	2.08539184371099	2.86345043131483e-24
ENST00000517413.5	ENSG00000129422	MTUS1	retained_intron	1.97357700189302	3.89869213415677e-24
ENST00000307358.7	ENSG00000170801	HTRA3	protein_coding	-1.61935060819066	4.36588528475742e-24
ENST00000315491.12	ENSG00000258947	TUBB3	protein_coding	-1.15493148844396	4.5722663661351e-24
ENST00000321437.9	ENSG00000166128	RAB8B	protein_coding	-0.882696046869096	4.7123981938703e-24
ENST00000374037.8	ENSG00000124664	SPDEF	protein_coding	1.66442871817132	4.85005270773821e-24
ENST00000295414.8	ENSG00000163249	CCNYL1	protein_coding	-0.981717238250595	5.1637281798594e-24
MSTRG.12566.3	NA	NA	NA	2.65803271168772	5.1637281798594e-24
ENST00000272519.10	ENSG00000144118	RALB	protein_coding	-0.832711752790693	5.26894861833073e-24
ENST00000653384.1	ENSG00000253671		lncRNA	2.08857926293958	7.50233797425305e-24
MSTRG.20655.2	NA	NA	NA	-3.79414732530344	1.24064920941853e-23
ENST00000369663.10	ENSG00000112837	TBX18	protein_coding	1.37273002639515	1.27639528263147e-23
ENST00000380739.6	ENSG00000021355	SERPINB1	protein_coding	0.751227314505563	1.42425581315505e-23
ENST00000349752.10	ENSG00000158089	GALNT14	protein_coding	-1.25371843263749	1.54421576373607e-23
ENST00000468262.5	ENSG00000198959	TGM2	retained_intron	-1.75808565515375	1.54421576373607e-23
MSTRG.24308.12	NA	NA	NA	1.63096324602562	1.68007074447111e-23
MSTRG.3727.6	NA	NA	NA	1.61583087339551	1.71639377151294e-23
ENST00000361492.9	ENSG00000074047	GLI2	protein_coding	-0.982941159543433	2.06669087669349e-23
ENST00000302188.8	ENSG00000171174	RBKS	protein_coding	-1.60716117243233	2.57622561869e-23
ENST00000263735.9	ENSG00000119888	EPCAM	protein_coding	1.37947436839305	3.48714194912508e-23
ENST00000295417.4	ENSG00000163251	FZD5	protein_coding	0.829638754469553	3.93072545281744e-23
MSTRG.14783.4	NA	NA	NA	-0.982471883255312	4.32958711299372e-23
ENST00000359263.9	ENSG00000138119	MYOF	protein_coding	-0.702303926642879	5.36636171899141e-23
ENST00000645220.1	ENSG00000105928	GSDME	protein_coding	-1.21172921658796	5.46114705548799e-23
ENST00000529681.5	ENSG00000117983	MUC5B	protein_coding	2.71549450581884	8.09935255977355e-23
ENST00000375077.5	ENSG00000106789	CORO2A	protein_coding	2.33202474414838	8.54675139266084e-23
ENST00000549176.1	ENSG00000170421	KRT8	retained_intron	1.85104767370941	1.02815590177219e-22
ENST00000465351.5	ENSG00000085662	AKR1B1	retained_intron	-0.973314226980265	1.05013591217043e-22
ENST00000616305.2	ENSG00000274070	CASTOR2	protein_coding	0.864274234564236	1.08423153987786e-22
ENST00000591645.3	ENSG00000167460	TPM4	protein_coding_CDS_not_defined	6.02977225693975	1.30288486363565e-22
MSTRG.3727.7	NA	NA	NA	1.41409292001569	1.37732256028188e-22
ENST00000282728.10	ENSG00000152804	HHEX	protein_coding	0.981354510519302	1.61257429863363e-22
ENST00000252809.3	ENSG00000130513	GDF15	protein_coding	1.84406363630367	2.20072414273772e-22
ENST00000567890.1	ENSG00000123358	NR4A1	retained_intron	6.6492904474246	2.22583514709753e-22
ENST00000558910.3	ENSG00000140416	TPM1	protein_coding	-1.04347453706585	2.22746281474801e-22
ENST00000488318.2	ENSG00000163430	FSTL1	retained_intron	-2.22472990672441	2.22842627950802e-22
ENST00000502265.5	ENSG00000145920	CPLX2	protein_coding	1.6222251797515	2.64824791096814e-22
MSTRG.6957.17	NA	NA	NA	1.09437038714791	3.19119911888029e-22
ENST00000370763.6	ENSG00000162616	DNAJB4	protein_coding	-0.927123008487826	3.52206702910398e-22
ENST00000344686.8	ENSG00000006062	MAP3K14	protein_coding	-1.11839614127716	3.56560833677151e-22
ENST00000265881.10	ENSG00000076043	REXO2	protein_coding	-0.869721096287271	4.84882511273985e-22
ENST00000375835.9	ENSG00000148082	SHC3	protein_coding	-3.27763626869559	5.00250651855933e-22
MSTRG.23919.6	NA	NA	NA	-1.07448044208292	5.59729589788327e-22
ENST00000487017.5	ENSG00000114270	COL7A1	retained_intron	-0.979287313915824	5.59832002893981e-22
ENST00000486854.5	ENSG00000096746	HNRNPH3	protein_coding_CDS_not_defined	-6.06306034194619	6.3833261556945e-22
ENST00000393745.8	ENSG00000145920	CPLX2	protein_coding	1.69936293598723	7.55540067245138e-22
ENST00000507668.7	ENSG00000164300	SERINC5	protein_coding	0.90839176526131	7.93876839715793e-22
ENST00000463834.1	ENSG00000204128	C2orf72	retained_intron	1.85692194931614	8.69955267490351e-22
MSTRG.29637.1	NA	NA	NA	1.789886269782	8.96901891018881e-22
ENST00000328668.8	ENSG00000183876	ARSI	protein_coding	-2.56081478707129	1.11016063706128e-21
ENST00000331597.9	ENSG00000149380	P4HA3	protein_coding	-2.48894889038859	1.18910988038465e-21
MSTRG.14818.1	NA	NA	NA	-3.58017445276082	1.28831913169474e-21
ENST00000437633.6	ENSG00000128512	DOCK4	protein_coding	-1.17656294516341	1.32179570388507e-21
ENST00000388968.8	ENSG00000144381	HSPD1	protein_coding	-0.730806724556763	1.3616079784619e-21
ENST00000261893.9	ENSG00000103642	LACTB	protein_coding	-1.16830713448093	1.85591895906963e-21
ENST00000309446.11	ENSG00000118263	KLF7	protein_coding	-0.890540915503055	2.00853695949114e-21
MSTRG.26073.2	NA	NA	NA	1.12486621045368	2.72165111955759e-21
ENST00000375071.4	ENSG00000158825	CDA	protein_coding	-1.49473642781008	4.50099226744534e-21
ENST00000200453.6	ENSG00000087074	PPP1R15A	protein_coding	1.00497057377145	4.6410264252952e-21
ENST00000394295.6	ENSG00000196975	ANXA4	protein_coding	0.766417715290213	6.11191932167923e-21
MSTRG.12494.4	NA	NA	NA	2.94721470642461	6.87559189849526e-21
ENST00000379416.4	ENSG00000158125	XDH	protein_coding	-1.98100856369035	8.43278020752643e-21
ENST00000344327.8	ENSG00000137672	TRPC6	protein_coding	1.68956306722789	9.52586211120105e-21
ENST00000467665.1	ENSG00000182600	SNORC	retained_intron	-1.77344613110019	1.29732406699257e-20
MSTRG.7137.4	NA	NA	NA	2.07276951290558	1.31474429245818e-20
ENST00000358187.2	ENSG00000148841	ITPRIP	protein_coding	-0.948817717508572	1.34696424159608e-20
ENST00000251691.5	ENSG00000112379	ARFGEF3	protein_coding	2.20516065833828	1.44586541234335e-20
ENST00000366672.5	ENSG00000143641	GALNT2	protein_coding	-0.667440113337861	1.46701535265164e-20
ENST00000264705.9	ENSG00000084774	CAD	protein_coding	-0.673200911044467	1.75240448034391e-20
ENST00000261023.8	ENSG00000138448	ITGAV	protein_coding	-0.715719326845236	1.76377546136233e-20
ENST00000637069.1	ENSG00000197077	KIAA1671	protein_coding	1.83614056117468	1.8956189397138e-20
ENST00000355841.7	ENSG00000196923	PDLIM7	protein_coding	-1.19050418550616	1.93445986982032e-20
ENST00000649279.2	ENSG00000152217	SETBP1	protein_coding	7.0930077330309	1.95728232272836e-20
ENST00000371361.3	ENSG00000173145	NOC3L	protein_coding	-0.822703615929075	2.74462076226592e-20
ENST00000239938.5	ENSG00000120738	EGR1	protein_coding	1.62411069789215	3.08734225942679e-20
